13, 19, 30
27, 38, 26
45, 81, 39
1, 1, 1
1, 3, 12
39, 28, 31
50, 69, 74
71, 84, 23
84, 29, 34
19, 38, 27
47, 29, 38
49, 30, 24
43, 58, 78
68, 17, 20
48, 28, 47
88, 28, 48
11, 48, 28
17, 17, 19
0, 0, 0
1, 1, 1
2, 2, 2
3, 3, 3
4, 4, 4
5, 5, 5
6, 6, 6
7, 7, 7
8, 8, 8
9, 9, 9
10, 10, 10
11, 11, 11
12, 12, 12
13, 13, 13
14, 14, 14
15, 15, 15
16, 16, 16
17, 17, 17
47, 29, 19
49, 128, 36
59, 28, 47
50, 189, 27
45, 16, 67
48, 26, 57
56, 89, 74
69, 37, 19
39, 20, 89
10, 10, 10
11, 29, 18
59, 18, 27
68, 37, 57
1, 1, 1
15, 15, 15
89, 94, 183
185, 38, 2
0, 0, 0
13, 19, 30
27, 38, 26
45, 81, 39
1, 1, 1
1, 3, 12
39, 28, 31
50, 69, 74
71, 84, 23
84, 29, 34
19, 38, 27
47, 29, 38
49, 30, 24
43, 58, 78
68, 17, 20
48, 28, 47
88, 28, 48
11, 48, 28
17, 17, 19
0, 0, 0
1, 1, 1
2, 2, 2
3, 3, 3
4, 4, 4
5, 5, 5
6, 6, 6
7, 7, 7
8, 8, 8
9, 9, 9
10, 10, 10
11, 11, 11
12, 12, 12
13, 13, 13
14, 14, 14
15, 15, 15
16, 16, 16
17, 17, 17
47, 29, 19
49, 128, 36
59, 28, 47
50, 189, 27
45, 16, 67
48, 26, 57
56, 89, 74
69, 37, 19
39, 20, 89
10, 10, 10
11, 29, 18
59, 18, 27
68, 37, 57
1, 1, 1
15, 15, 15
89, 94, 183
185, 38, 2
0, 0, 0
13, 19, 30
27, 38, 26
45, 81, 39
1, 1, 1
1, 3, 12
39, 28, 31
50, 69, 74
71, 84, 23
84, 29, 34
19, 38, 27
47, 29, 38
49, 30, 24
43, 58, 78
68, 17, 20
48, 28, 47
88, 28, 48
11, 48, 28
17, 17, 19
0, 0, 0
1, 1, 1
2, 2, 2
3, 3, 3
4, 4, 4
5, 5, 5
6, 6, 6
7, 7, 7
8, 8, 8
9, 9, 9
10, 10, 10
11, 11, 11
12, 12, 12
13, 13, 13
14, 14, 14
15, 15, 15
16, 16, 16
17, 17, 17
47, 29, 19
49, 128, 36
59, 28, 47
50, 189, 27
45, 16, 67
48, 26, 57
56, 89, 74
69, 37, 19
39, 20, 89
10, 10, 10
11, 29, 18
59, 18, 27
68, 37, 57
1, 1, 1
15, 15, 15
89, 94, 183
185, 38, 2
0, 0, 0
13, 19, 30
27, 38, 26
45, 81, 39
1, 1, 1
1, 3, 12
39, 28, 31
50, 69, 74
71, 84, 23
84, 29, 34
19, 38, 27
47, 29, 38
49, 30, 24
43, 58, 78
68, 17, 20
48, 28, 47
88, 28, 48
11, 48, 28
17, 17, 19
0, 0, 0
1, 1, 1
2, 2, 2
3, 3, 3
4, 4, 4
5, 5, 5
6, 6, 6
7, 7, 7
8, 8, 8
9, 9, 9
10, 10, 10
11, 11, 11
12, 12, 12
13, 13, 13
14, 14, 14
15, 15, 15
16, 16, 16
17, 17, 17
47, 29, 19
49, 128, 36
59, 28, 47
50, 189, 27
45, 16, 67
48, 26, 57
56, 89, 74
69, 37, 19
39, 20, 89
10, 10, 10
11, 29, 18
59, 18, 27
68, 37, 57
1, 1, 1
15, 15, 15
89, 94, 183
185, 38, 2
0, 0, 0
13, 19, 30
27, 38, 26
45, 81, 39
1, 1, 1
1, 3, 12
39, 28, 31
50, 69, 74
71, 84, 23
84, 29, 34
19, 38, 27
47, 29, 38
49, 30, 24
43, 58, 78
68, 17, 20
48, 28, 47
88, 28, 48
11, 48, 28
17, 17, 19
0, 0, 0
1, 1, 1
2, 2, 2
3, 3, 3
4, 4, 4
5, 5, 5
6, 6, 6
7, 7, 7
8, 8, 8
9, 9, 9
10, 10, 10
11, 11, 11
12, 12, 12
13, 13, 13
14, 14, 14
15, 15, 15
16, 16, 16
17, 17, 17
47, 29, 19
49, 128, 36
59, 28, 47
50, 189, 27
45, 16, 67
48, 26, 57
56, 89, 74
69, 37, 19
39, 20, 89
10, 10, 10
11, 29, 18
59, 18, 27
68, 37, 57
1, 1, 1
15, 15, 15
89, 94, 183
185, 38, 2
0, 0, 0
13, 19, 30
27, 38, 26
45, 81, 39
1, 1, 1
1, 3, 12
39, 28, 31
50, 69, 74
71, 84, 23
84, 29, 34
19, 38, 27
47, 29, 38
49, 30, 24
43, 58, 78
68, 17, 20
48, 28, 47
88, 28, 48
11, 48, 28
17, 17, 19
0, 0, 0
1, 1, 1
2, 2, 2
3, 3, 3
4, 4, 4
5, 5, 5
6, 6, 6
7, 7, 7
8, 8, 8
9, 9, 9
10, 10, 10
11, 11, 11
12, 12, 12
13, 13, 13
14, 14, 14
15, 15, 15
16, 16, 16
17, 17, 17
47, 29, 19
49, 128, 36
59, 28, 47
50, 189, 27
45, 16, 67
48, 26, 57
56, 89, 74
69, 37, 19
39, 20, 89
10, 10, 10
11, 29, 18
59, 18, 27
68, 37, 57
1, 1, 1
15, 15, 15
89, 94, 183
185, 38, 2
0, 0, 0
13, 19, 30
27, 38, 26
45, 81, 39
1, 1, 1
1, 3, 12
39, 28, 31
50, 69, 74
71, 84, 23
84, 29, 34
19, 38, 27
47, 29, 38
49, 30, 24
43, 58, 78
68, 17, 20
48, 28, 47
88, 28, 48
11, 48, 28
17, 17, 19
0, 0, 0
1, 1, 1
2, 2, 2
3, 3, 3
4, 4, 4
5, 5, 5
6, 6, 6
7, 7, 7
8, 8, 8
9, 9, 9
10, 10, 10
11, 11, 11
12, 12, 12
13, 13, 13
14, 14, 14
15, 15, 15
16, 16, 16
17, 17, 17
47, 29, 19
49, 128, 36
59, 28, 47
50, 189, 27
45, 16, 67
48, 26, 57
56, 89, 74
69, 37, 19
39, 20, 89
10, 10, 10
11, 29, 18
59, 18, 27
68, 37, 57
1, 1, 1
15, 15, 15
89, 94, 183
185, 38, 2
0, 0, 0
13, 19, 30
27, 38, 26
45, 81, 39
1, 1, 1
1, 3, 12
39, 28, 31
50, 69, 74
71, 84, 23
84, 29, 34
19, 38, 27
47, 29, 38
49, 30, 24
43, 58, 78
68, 17, 20
48, 28, 47
88, 28, 48
11, 48, 28
17, 17, 19
0, 0, 0
1, 1, 1
2, 2, 2
3, 3, 3
4, 4, 4
5, 5, 5
6, 6, 6
7, 7, 7
8, 8, 8
9, 9, 9
10, 10, 10
11, 11, 11
12, 12, 12
13, 13, 13
14, 14, 14
15, 15, 15
16, 16, 16
17, 17, 17
47, 29, 19
49, 128, 36
59, 28, 47
50, 189, 27
45, 16, 67
48, 26, 57
56, 89, 74
69, 37, 19
39, 20, 89
10, 10, 10
11, 29, 18
59, 18, 27
68, 37, 57
1, 1, 1
15, 15, 15
89, 94, 183
185, 38, 2
0, 0, 0
13, 19, 30
27, 38, 26
45, 81, 39
1, 1, 1
1, 3, 12
39, 28, 31
50, 69, 74
71, 84, 23
84, 29, 34
19, 38, 27
47, 29, 38
49, 30, 24
43, 58, 78
68, 17, 20
48, 28, 47
88, 28, 48
11, 48, 28
17, 17, 19
0, 0, 0
1, 1, 1
2, 2, 2
3, 3, 3
4, 4, 4
5, 5, 5
6, 6, 6
7, 7, 7
8, 8, 8
9, 9, 9
10, 10, 10
11, 11, 11
12, 12, 12
13, 13, 13
14, 14, 14
15, 15, 15
16, 16, 16
17, 17, 17
47, 29, 19
49, 128, 36
59, 28, 47
50, 189, 27
45, 16, 67
48, 26, 57
56, 89, 74
69, 37, 19
39, 20, 89
10, 10, 10
11, 29, 18
59, 18, 27
68, 37, 57
1, 1, 1
15, 15, 15
89, 94, 183
185, 38, 2
0, 0, 0
13, 19, 30
27, 38, 26
45, 81, 39
1, 1, 1
1, 3, 12
39, 28, 31
50, 69, 74
71, 84, 23
84, 29, 34
19, 38, 27
47, 29, 38
49, 30, 24
43, 58, 78
68, 17, 20
48, 28, 47
88, 28, 48
11, 48, 28
17, 17, 19
0, 0, 0
1, 1, 1
2, 2, 2
3, 3, 3
4, 4, 4
5, 5, 5
6, 6, 6
7, 7, 7
8, 8, 8
9, 9, 9
10, 10, 10
11, 11, 11
12, 12, 12
13, 13, 13
14, 14, 14
15, 15, 15
16, 16, 16
17, 17, 17
47, 29, 19
49, 128, 36
59, 28, 47
50, 189, 27
45, 16, 67
48, 26, 57
56, 89, 74
69, 37, 19
39, 20, 89
10, 10, 10
11, 29, 18
59, 18, 27
68, 37, 57
1, 1, 1
15, 15, 15
89, 94, 183
185, 38, 2
0, 0, 0
13, 19, 30
27, 38, 26
45, 81, 39
1, 1, 1
1, 3, 12
39, 28, 31
50, 69, 74
71, 84, 23
84, 29, 34
19, 38, 27
47, 29, 38
49, 30, 24
43, 58, 78
68, 17, 20
48, 28, 47
88, 28, 48
11, 48, 28
17, 17, 19
0, 0, 0
1, 1, 1
2, 2, 2
3, 3, 3
4, 4, 4
5, 5, 5
6, 6, 6
7, 7, 7
8, 8, 8
9, 9, 9
10, 10, 10
11, 11, 11
12, 12, 12
13, 13, 13
14, 14, 14
15, 15, 15
16, 16, 16
17, 17, 17
47, 29, 19
49, 128, 36
59, 28, 47
50, 189, 27
45, 16, 67
48, 26, 57
56, 89, 74
69, 37, 19
39, 20, 89
10, 10, 10
11, 29, 18
59, 18, 27
68, 37, 57
1, 1, 1
15, 15, 15
89, 94, 183
185, 38, 2
0, 0, 0
13, 19, 30
27, 38, 26
45, 81, 39
1, 1, 1
1, 3, 12
39, 28, 31
50, 69, 74
71, 84, 23
84, 29, 34
19, 38, 27
47, 29, 38
49, 30, 24
43, 58, 78
68, 17, 20
48, 28, 47
88, 28, 48
11, 48, 28
17, 17, 19
0, 0, 0
1, 1, 1
2, 2, 2
3, 3, 3
4, 4, 4
5, 5, 5
6, 6, 6
7, 7, 7
8, 8, 8
9, 9, 9
10, 10, 10
11, 11, 11
12, 12, 12
13, 13, 13
14, 14, 14
15, 15, 15
16, 16, 16
17, 17, 17
47, 29, 19
49, 128, 36
59, 28, 47
50, 189, 27
45, 16, 67
48, 26, 57
56, 89, 74
69, 37, 19
39, 20, 89
10, 10, 10
11, 29, 18
59, 18, 27
68, 37, 57
